id,eng_word,level,difficulty_level,first_letter,tur_word,sample_sentence_1,sample_sentence_2,picture,audio_url
1,about,A1,1,a,hakkında,She read a short book about birds.,My brother asked about the new game.,,https://api.dictionaryapi.dev/media/pronunciations/en/about-us.mp3
2,above,A1,1,a,yukarıda,The clock is above the door.,A small plane flew above the city.,,https://api.dictionaryapi.dev/media/pronunciations/en/above-us.mp3
3,action,A1,1,a,eylem,The movie has a lot of action.,We need quick action today.,,https://api.dictionaryapi.dev/media/pronunciations/en/action-us.mp3
4,activity,A1,1,a,aktivite,Swimming is my favorite activity.,The teacher planned a fun activity.,,https://api.dictionaryapi.dev/media/pronunciations/en/activity-us.mp3
5,actor,A1,1,a,aktör,The actor arrived early for work.,Everyone thanked the actor after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/actor-uk.mp3
6,add,A1,1,a,eklemek,Please add your name to the list.,I add milk to my tea.,,https://api.dictionaryapi.dev/media/pronunciations/en/add-us.mp3
7,address,A1,1,a,adres,Write your address on the form.,The teacher will address the class after lunch.,,https://api.dictionaryapi.dev/media/pronunciations/en/address-uk.mp3
8,afraid,A1,1,a,korkmuş,The child is afraid of the dark.,I felt afraid during the storm.,,https://api.dictionaryapi.dev/media/pronunciations/en/afraid-us.mp3
9,after,A1,1,a,sonra,We ate dinner after the lesson.,She called me after school.,,https://api.dictionaryapi.dev/media/pronunciations/en/after-us.mp3
10,afternoon,A1,1,a,öğleden sonra,I study English in the afternoon.,The afternoon was warm and quiet.,,https://api.dictionaryapi.dev/media/pronunciations/en/afternoon-uk.mp3
11,baby,A1,1,b,bebek,The baby slept in a small bed.,She held the baby carefully.,,https://api.dictionaryapi.dev/media/pronunciations/en/baby-uk.mp3
12,back,A1,1,b,geri/sırt,Please come back before dinner.,My back hurts after the long walk.,,https://api.dictionaryapi.dev/media/pronunciations/en/back-us.mp3
13,bad,A1,1,b,kötü,The milk has a bad smell.,He felt bad after the long trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/bad-uk.mp3
14,bag,A1,1,b,çanta,The bag was on the wooden table.,My brother carried the bag to school.,,https://api.dictionaryapi.dev/media/pronunciations/en/bag-au.mp3
15,ball,A1,1,b,top,I cleaned the ball before dinner.,The small ball fell from the shelf.,,https://api.dictionaryapi.dev/media/pronunciations/en/ball-au.mp3
16,banana,A1,1,b,muz,She ate a banana after school.,He bought a fresh banana at the market.,,https://api.dictionaryapi.dev/media/pronunciations/en/banana-uk.mp3
17,band,A1,1,b,grup,The band played a song at school.,She wears a blue band in her hair.,,https://api.dictionaryapi.dev/media/pronunciations/en/band-ca.mp3
18,bank,A1,1,b,banka,She took money from the bank.,They sat on the river bank.,,https://api.dictionaryapi.dev/media/pronunciations/en/bank-us.mp3
19,bar,A1,1,b,bar/çubuk,They met at a small bar after work.,The worker lifted a metal bar.,,https://api.dictionaryapi.dev/media/pronunciations/en/bar-uk.mp3
20,baseball,A1,1,b,beyzbol,We played baseball in the park.,The baseball rolled under the car.,,https://api.dictionaryapi.dev/media/pronunciations/en/baseball-us.mp3
21,basketball,A1,1,b,basketbol,He plays basketball after school.,The basketball bounced across the yard.,,https://api.dictionaryapi.dev/media/pronunciations/en/basketball-us.mp3
22,cake,A1,1,c,kek,She ate a cake after school.,He bought a fresh cake at the market.,,https://api.dictionaryapi.dev/media/pronunciations/en/cake-1-uk.mp3
23,call,A1,1,c,aramak/çağrı,Please call me after school.,I missed your call this morning.,,https://api.dictionaryapi.dev/media/pronunciations/en/call-au.mp3
24,camera,A1,1,c,kamera,I cleaned the camera before dinner.,The small camera fell from the shelf.,,https://api.dictionaryapi.dev/media/pronunciations/en/camera-us.mp3
25,camp,A1,1,c,kamp,The summer camp starts in July.,We slept at the camp for two nights.,,https://api.dictionaryapi.dev/media/pronunciations/en/camp-us.mp3
26,can,A1,1,c,kutu/-ebilmek,I can swim across the pool.,She opened a can of beans.,,https://api.dictionaryapi.dev/media/pronunciations/en/can-1-us-stressed.mp3
27,candy,A1,1,c,şeker,The child ate candy after lunch.,She put candy in the small bowl.,,https://api.dictionaryapi.dev/media/pronunciations/en/candy-us.mp3
28,cap,A1,1,c,şapka,She put the cap beside her bag.,He found a cap under the chair.,,https://api.dictionaryapi.dev/media/pronunciations/en/cap-au.mp3
29,car,A1,1,c,araba,The car stopped near the school.,My father washed the car on Sunday.,,https://api.dictionaryapi.dev/media/pronunciations/en/car-uk.mp3
30,card,A1,1,c,kart,I cleaned the card before dinner.,The small card fell from the shelf.,,https://api.dictionaryapi.dev/media/pronunciations/en/card-au.mp3
31,care,A1,1,c,önemsemek/bakım,I care about my little brother.,Good care helped the plant grow.,,https://api.dictionaryapi.dev/media/pronunciations/en/care-us.mp3
32,careful,A1,1,c,dikkatli,Be careful when you cross the road.,She made a careful plan for the trip.,,https://api.dictionaryapi.dev/media/pronunciations/en/careful-us.mp3
33,dad,A1,1,d,baba,A young dad waited outside the room.,The dad spoke kindly to us.,,https://api.dictionaryapi.dev/media/pronunciations/en/dad-us.mp3
34,daddy,A1,1,d,babacık,Daddy read a story before bed.,The child ran to daddy after school.,,https://api.dictionaryapi.dev/media/pronunciations/en/daddy-uk.mp3
35,dance,A1,1,d,dans etmek,She began to dance when the music started.,They will dance outside if the weather is good.,,https://api.dictionaryapi.dev/media/pronunciations/en/dance-uk.mp3
36,dancing,A1,1,d,dans,Dancing helps her feel happy.,We watched dancing at the festival.,,https://api.dictionaryapi.dev/media/pronunciations/en/dancing-us.mp3
