word_sample_id,word_id,sample_order,sample_sentence
1,1,1,She read a short book about birds.
2,1,2,My brother asked about the new game.
3,2,1,The clock is above the door.
4,2,2,A small plane flew above the city.
5,3,1,The movie has a lot of action.
6,3,2,We need quick action today.
7,4,1,Swimming is my favorite activity.
8,4,2,The teacher planned a fun activity.
9,5,1,The actor arrived early for work.
10,5,2,Everyone thanked the actor after lunch.
11,6,1,Please add your name to the list.
12,6,2,I add milk to my tea.
13,7,1,Write your address on the form.
14,7,2,The teacher will address the class after lunch.
15,8,1,The child is afraid of the dark.
16,8,2,I felt afraid during the storm.
17,9,1,We ate dinner after the lesson.
18,9,2,She called me after school.
19,10,1,I study English in the afternoon.
20,10,2,The afternoon was warm and quiet.
21,11,1,The baby slept in a small bed.
22,11,2,She held the baby carefully.
23,12,1,Please come back before dinner.
24,12,2,My back hurts after the long walk.
25,13,1,The milk has a bad smell.
26,13,2,He felt bad after the long trip.
27,14,1,The bag was on the wooden table.
28,14,2,My brother carried the bag to school.
29,15,1,I cleaned the ball before dinner.
30,15,2,The small ball fell from the shelf.
31,16,1,She ate a banana after school.
32,16,2,He bought a fresh banana at the market.
33,17,1,The band played a song at school.
34,17,2,She wears a blue band in her hair.
35,18,1,She took money from the bank.
36,18,2,They sat on the river bank.
37,19,1,They met at a small bar after work.
38,19,2,The worker lifted a metal bar.
39,20,1,We played baseball in the park.
40,20,2,The baseball rolled under the car.
41,21,1,He plays basketball after school.
42,21,2,The basketball bounced across the yard.
43,22,1,She ate a cake after school.
44,22,2,He bought a fresh cake at the market.
45,23,1,Please call me after school.
46,23,2,I missed your call this morning.
47,24,1,I cleaned the camera before dinner.
48,24,2,The small camera fell from the shelf.
49,25,1,The summer camp starts in July.
50,25,2,We slept at the camp for two nights.
51,26,1,I can swim across the pool.
52,26,2,She opened a can of beans.
53,27,1,The child ate candy after lunch.
54,27,2,She put candy in the small bowl.
55,28,1,She put the cap beside her bag.
56,28,2,He found a cap under the chair.
57,29,1,The car stopped near the school.
58,29,2,My father washed the car on Sunday.
59,30,1,I cleaned the card before dinner.
60,30,2,The small card fell from the shelf.
61,31,1,I care about my little brother.
62,31,2,Good care helped the plant grow.
63,32,1,Be careful when you cross the road.
64,32,2,She made a careful plan for the trip.
65,33,1,A young dad waited outside the room.
66,33,2,The dad spoke kindly to us.
67,34,1,Daddy read a story before bed.
68,34,2,The child ran to daddy after school.
69,35,1,She began to dance when the music started.
70,35,2,They will dance outside if the weather is good.
71,36,1,Dancing helps her feel happy.
72,36,2,We watched dancing at the festival.
73,37,1,The room was dark at night.
74,37,2,A dark cloud covered the sun.
75,38,1,Write today’s date at the top.
76,38,2,They went on a dinner date.
77,39,1,My daughter studies English every day.
78,39,2,Her daughter drew a picture of a cat.
79,40,1,It was a sunny day.
80,40,2,The day ended with a short walk.
81,41,1,She wrote a letter to her dear friend.
82,41,2,This old photo is dear to me.
83,42,1,December is a cold month here.
84,42,2,My birthday is in December.
85,43,1,Each student brought one book.
86,43,2,We put a sticker on each box.
87,44,1,The baby touched his ear.
88,44,2,I heard music in my left ear.
89,45,1,She came early to class.
90,45,2,We ate an early breakfast today.
91,46,1,This question is easy for me.
92,46,2,The teacher gave an easy example.
93,47,1,I eat breakfast at seven.
94,47,2,She likes to eat fruit after lunch.
95,48,1,We shared the egg at lunch.
96,48,2,The cook used egg in the meal.
97,49,1,I have eight pencils in my bag.
98,49,2,The train leaves at eight o’clock.
99,50,1,My cousin is eighteen years old.
100,50,2,There are eighteen students in the room.
101,51,1,My grandfather is eighty years old.
102,51,2,The ticket costs eighty lira.
103,52,1,You can choose either tea or coffee.
104,52,2,Either answer is fine for this question.
105,53,1,He pointed to the face on the page.
106,53,2,The face appeared near the end of the story.
107,54,1,My uncle works in a factory.
108,54,2,The factory makes small toys.
109,55,1,The referee made a fair decision.
110,55,2,We bought candy at the fair.
111,56,1,The child drew a tiny fairy.
112,56,2,A fairy helped the hero in the story.
113,57,1,That answer is false.
114,57,2,He gave a false name at first.
115,58,1,My family eats dinner together.
116,58,2,Her family lives near the sea.
117,59,1,The famous singer visited our city.
118,59,2,This street is famous for its cafes.
119,60,1,He is a fan of that football team.
120,60,2,The fan made the room cooler.
121,61,1,They live on a small farm.
122,61,2,The farm has cows and chickens.
123,62,1,The farmer arrived early for work.
124,62,2,Everyone thanked the farmer after lunch.
125,63,1,The rabbit is very fast.
126,63,2,She runs fast in the race.
127,64,1,We played a game after dinner.
128,64,2,The game starts at seven o’clock.
129,65,1,Please put the garbage outside.
130,65,2,The street had garbage near the wall.
131,66,1,Flowers grow in the garden.
132,66,2,We sat in the garden after lunch.
133,67,1,I will get a ticket after school.
134,67,2,She wants to get better at English.
135,68,1,The story has a friendly ghost.
136,68,2,He wore a ghost costume at the party.
137,69,1,She gave me a small gift.
138,69,2,The gift was inside a red box.
139,70,1,The girl helped a child near the door.
140,70,2,A friendly girl smiled during the meeting.
141,71,1,The girlfriend arrived early for work.
142,71,2,Everyone thanked the girlfriend after lunch.
143,72,1,The team will give the issue tomorrow.
144,72,2,I hope to give this skill with practice.
145,73,1,I am glad to see you.
146,73,2,She felt glad after the exam.
147,74,1,Reading every night is a good habit.
148,74,2,He has a habit of waking early.
149,75,1,We saw the had near the window.
150,75,2,My friend described the had very clearly.
151,76,1,Her hair is long and black.
152,76,2,I washed my hair this morning.
153,77,1,The haircut was on the wooden table.
154,77,2,My brother carried the haircut to school.
155,78,1,She ate half of the sandwich.
156,78,2,The game lasted half an hour.
157,79,1,They waited near the hall after lunch.
158,79,2,She took a photo of the hall in town.
159,80,1,He ate a hamburger for lunch.
160,80,2,The hamburger came with salad.
161,81,1,I cleaned the hand before dinner.
162,81,2,The small hand fell from the shelf.
163,82,1,The actor looked handsome in the film.
164,82,2,She bought a handsome jacket for her brother.
165,83,1,She began to happen when the music started.
166,83,2,They will happen outside if the weather is good.
167,84,1,The children were happy at the zoo.
168,84,2,I felt happy after the good news.
169,85,1,The ice was part of the story.
170,85,2,She noticed the ice during the lesson.
171,86,1,That is a good idea.
172,86,2,She wrote her idea in the notebook.
173,87,1,This is an ideal place for a picnic.
174,87,2,The ideal answer is short and clear.
175,88,1,Call me if you need help.
176,88,2,We can go outside if it stops raining.
177,89,1,We can imagine the problem step by step.
178,89,2,He began to imagine the answer during class.
179,90,1,Sleep is important for health.
180,90,2,This rule is important for everyone.
181,91,1,The keys are in my bag.
182,91,2,She lives in a small town.
183,92,1,The website has useful information.
184,92,2,Please write the information on this form.
185,93,1,The cat is inside the box.
186,93,2,It was warm inside the house.
187,94,1,She is interested in music.
188,94,2,He looked interested during the lesson.
189,95,1,The jacket was on the wooden table.
190,95,2,My brother carried the jacket to school.
191,96,1,January is the first month.
192,96,2,We start school again in January.
193,97,1,He wore blue jeans to school.
194,97,2,My jeans are in the washing machine.
195,98,1,The jet was on the wooden table.
196,98,2,My brother carried the jet to school.
197,99,1,She found a new job in town.
198,99,2,This job starts early in the morning.
199,100,1,They plan to join the problem this week.
200,100,2,She tried to join the task before dinner.
201,101,1,The judge listened to both sides.
202,101,2,Please do not judge people too quickly.
203,102,1,We shared the juice at lunch.
204,102,2,The cook used juice in the meal.
205,103,1,July is usually hot here.
206,103,2,We will travel in July.
207,104,1,She began to jump when the music started.
208,104,2,They will jump outside if the weather is good.
209,105,1,Keep your phone in your bag.
210,105,2,I keep old photos in this box.
211,106,1,She put the key beside her bag.
212,106,2,He found a key under the chair.
213,107,1,We need to kick the plan carefully.
214,107,2,He decided to kick it after the meeting.
215,108,1,A young kid waited outside the room.
216,108,2,The kid spoke kindly to us.
217,109,1,They plan to kill the problem this week.
218,109,2,She tried to kill the task before dinner.
219,110,1,She is kind to new students.
220,110,2,This kind of tea is very light.
221,111,1,The king answer was easy to understand.
222,111,2,We found a king place to rest.
223,112,1,They plan to kiss the problem this week.
224,112,2,She tried to kiss the task before dinner.
225,113,1,The kitchen was quiet in the morning.
226,113,2,We found the kitchen at the end of the street.
227,114,1,I cleaned the kite before dinner.
228,114,2,The small kite fell from the shelf.
229,115,1,The lady helped a child near the door.
230,115,2,A friendly lady smiled during the meeting.
231,116,1,English is a useful language.
232,116,2,She learns a new language at school.
233,117,1,They live in a large house.
234,117,2,A large dog slept by the door.
235,118,1,The bus was late this morning.
236,118,2,I had a late dinner yesterday.
237,119,1,They walked later through the quiet hall.
238,119,2,The student listened later to the story.
239,120,1,Her laugh made everyone smile.
240,120,2,I heard a loud laugh outside.
241,121,1,The lazy cat slept all day.
242,121,2,Do not be lazy with your homework.
243,122,1,The leader arrived early for work.
244,122,2,Everyone thanked the leader after lunch.
245,123,1,We saw the leaf near the window.
246,123,2,My friend described the leaf very clearly.
247,124,1,Try to learn the main idea first.
248,124,2,She wants to learn the reason clearly.
249,125,1,The machine was on the wooden table.
250,125,2,My brother carried the machine to school.
251,126,1,I cleaned the magazine before dinner.
252,126,2,The small magazine fell from the shelf.
253,127,1,She put the mail beside her bag.
254,127,2,He found a mail under the chair.
255,128,1,We need to make the plan carefully.
256,128,2,He decided to make it after the meeting.
257,129,1,A young man waited outside the room.
258,129,2,The man spoke kindly to us.
259,130,1,Many students joined the club.
260,130,2,There are many books on the shelf.
261,131,1,The map was on the wooden table.
262,131,2,My brother carried the map to school.
263,132,1,March is a windy month here.
264,132,2,The soldiers march through the square.
265,133,1,We watched the football match on TV.
266,133,2,The red socks match her dress.
267,134,1,This matter needs a quick answer.
268,134,2,Your opinion does matter to me.
269,135,1,Please write your name here.
270,135,2,Her name is on the list.
271,136,1,My nationality is Turkish.
272,136,2,The form asks for your nationality.
273,137,1,The bus stop is near my house.
274,137,2,He sat near the window.
275,138,1,My neck hurts after sleeping badly.
276,138,2,She wore a scarf around her neck.
277,139,1,They plan to need the problem this week.
278,139,2,She tried to need the task before dinner.
279,140,1,The plan changed never after lunch.
280,140,2,She smiled never at the good news.
281,141,1,I bought a new notebook.
282,141,2,Our new teacher is very kind.
283,142,1,The news made everyone happy.
284,142,2,I read the news every morning.
285,143,1,My father reads the newspaper at breakfast.
286,143,2,The newspaper is on the table.
287,144,1,She has a nice smile.
288,144,2,We had a nice day at the park.
289,145,1,The class starts at nine o’clock.
290,145,2,I went home at five o’clock.
291,146,1,October is a cool month.
292,146,2,The meeting is in October.
293,147,1,The cover of the book is blue.
294,147,2,She drank a glass of water.
295,148,1,Please turn off the light.
296,148,2,The cat jumped off the chair.
297,149,1,My mother works in an office.
